feature,coefficient
client_client01,0.7486825284555193
client_client02,-1.9978997040946573
client_client03,0.6170196532500012
client_client04,0.23134330962743394
client_client05,1.3289050404881122
client_client06,-1.0034583035247184
client_client07,-1.5379605234425577
client_client08,0.30864955459241455
client_client09,0.004542783313852147
client_client10,0.04755667034716733
client_client11,0.7841084137032361
client_client12,0.08901268391226634
client_client13,-0.9369189106969601
client_client14,0.7388691936585228
client_client15,0.5426348440054372
client_client16,0.034940752818747416
site_gru03,-0.41972537960561673
site_gru05,1.507015606061765
site_gru06,1.8974111295466276
site_rnp_rj,-1.7617619355807628
site_rnp_sp,-1.2229114340081935
throughput_download,-0.0149537239207336
throughput_upload,0.6858863893142176
rtt_download,-1.5920549752866766
rtt_upload,-0.6199169698406076
throughput_download_std,-1.0413018007944699
throughput_upload_std,0.18597663525679423
rtt_download_std,-0.33455627169335184
rtt_upload_std,0.9051346397451346
